1	1
5	35351
2	0
3	2
5	35321
6	35296
4	2
4	35330
5	35283
5	1
4	35378
6	1
5	35222
7	6
4	35339
5	35323
4	46813
6	46787
4	47543
6	47269
8	1
5	35322
9	3
4	35166
5	35137
6	35144
10	0
11	2
4	35199
5	35196
12	0
13	0
14	0
15	0
16	3
4	35313
5	35299
6	35297
17	2
4	35181
4	49112
18	2
4	35341
5	35346
19	1
5	35168
20	0
21	1
4	35128
22	3
4	35165
5	35143
6	35153
23	1
5	35325
24	1
5	35370
25	0
26	0
27	0
28	0
29	0
30	0
31	1
4	35151
32	0
33	0
34	1
5	35159
35	3
4	35350
5	35326
6	35319
36	1
5	35208
37	0
38	2
4	7509
6	7320
39	1
4	35150
40	0
41	1
5	35369
42	1
4	35238
43	1
5	35236
44	0
45	0
46	1
4	35167
47	0
48	0
49	0
50	0
51	2
5	35165
4	35174
52	1
5	35167
53	3
4	35247
5	35225
6	35218
54	0
55	1
4	35196
56	1
5	35302
57	0
58	2
4	35316
5	35320
59	0
60	0
61	0
62	1
4	35320
63	2
4	35180
5	35182
64	2
4	35242
5	35236
65	1
5	35269
66	0
67	0
68	1
5	35239
69	2
5	35130
6	35123
70	1
4	35255
71	0
72	0
73	1
5	35112
74	1
5	35288
75	2
6	50647
4	50846
76	1
5	35126
77	1
5	35296
78	2
4	35355
5	35330
79	0
80	1
5	35292
81	0
82	2
5	35291
6	35259
83	2
6	35300
6	50497
84	0
85	1
5	35252
86	0
87	1
4	35396
88	1
5	35196
89	1
5	35114
90	1
5	35279
91	3
5	35163
6	35156
4	35202
92	0
93	2
5	35225
6	35214
94	0
95	0
96	1
5	35364
97	0
98	2
4	35144
5	35121
99	1
4	6030
100	1
6	35242
101	1
6	35179
102	4
4	35313
5	35295
6	35286
6	38700
103	0
104	0
105	5
6	35234
5	35987
5	36130
5	36298
4	40588
106	2
4	35220
5	35220
107	8
4	31148
6	31099
4	31325
6	31356
4	31436
6	31440
4	35169
5	35326
108	2
5	35280
6	35251
109	0
110	2
4	35130
5	35113
111	1
5	35249
112	2
4	35173
5	35168
113	2
4	35197
5	35196
114	0
115	4
4	35339
5	35318
6	35316
4	35685
116	1
4	35206
117	0
118	1
5	35373
119	0
120	5
4	35318
4	45441
6	45583
4	49345
6	49316
121	1
5	35134
122	1
4	35370
123	2
4	17156
5	35156
124	0
125	1
5	35317
126	1
4	35256
127	0
128	0
129	1
4	35235
130	1
5	35295
131	2
5	35137
6	35121
132	0
133	0
134	2
4	35233
5	35231
135	2
4	35239
5	35248
136	0
137	0
138	0
139	1
5	35241
140	0
141	1
4	35173
142	2
4	35134
5	35133
143	0
144	0
145	2
4	35148
5	35137
146	0
147	2
4	12827
5	35223
148	0
149	0
150	3
4	35275
5	35259
6	35256
151	1
6	35332
152	3
4	35225
5	35199
6	35185
153	1
5	35222
154	1
6	35162
155	9
4	33248
6	33186
4	33345
6	33525
4	34188
5	35184
6	34406
4	36830
4	37202
156	2
4	35240
5	35235
157	1
5	35425
158	1
4	35369
159	3
4	35161
5	35143
6	35142
160	2
5	35278
6	35263
161	2
5	35169
4	35186
162	3
4	35304
5	35283
6	35278
163	1
5	35278
164	2
4	16146
4	35172
165	0
166	2
5	35097
6	35075
167	2
5	35331
6	35325
168	2
6	35134
4	35176
169	0
170	3
5	35171
4	35186
6	35176
171	1
4	35275
172	1
5	35231
173	1
5	35233
174	2
5	35167
4	35186
175	1
5	35347
176	2
4	35131
5	35113
177	0
178	3
4	35340
5	35350
6	35329
179	4
4	24111
6	24600
4	28207
5	35288
180	0
181	0
182	2
4	35152
5	35140
183	2
4	35299
5	35299
184	1
4	35328
185	0
186	5
4	7042
4	7139
6	8222
4	7955
6	35245
187	1
5	35143
188	1
4	35218
189	3
4	35280
5	35258
6	35260
190	2
4	35365
5	35349
191	0
192	2
4	35353
5	35330
193	1
5	35108
194	1
4	35238
195	1
5	35356
196	0
197	1
5	35268
198	2
4	35109
5	35109
199	1
4	35327
200	1
5	35146
201	1
5	35358
202	3
4	35212
5	35188
6	35206
203	1
5	35235
204	2
4	35141
5	35156
205	3
4	35317
5	35279
6	35282
206	1
6	35308
207	2
5	35142
6	35102
208	1
5	35188
209	0
210	1
4	38298
211	1
5	35328
212	0
213	0
214	1
5	35239
215	0
216	0
217	2
4	35165
5	35147
218	1
4	35335
219	1
6	35291
220	1
5	35178
221	2
4	35099
5	35078
222	0
223	5
4	21844
6	21947
4	21937
6	22225
4	22501
224	0
225	1
5	35247
226	3
4	35150
5	35133
6	35122
227	0
228	1
5	35248
229	0
230	3
4	35358
5	35334
6	35344
231	0
232	0
233	1
4	35254
234	3
4	35267
5	35243
6	35256
235	2
5	35197
6	35204
236	1
5	35311
237	1
4	35176
238	1
5	35149
239	2
4	35310
5	35308
240	1
5	35172
241	2
5	35134
6	35137
242	0
243	0
244	1
5	35308
245	2
4	35255
5	35266
246	0
247	0
248	0
249	1
5	35150
250	0
251	0
252	1
4	35327
253	0
254	1
5	35259
255	1
5	35202
256	2
6	24047
4	24641
257	1
5	35297
258	0
259	2
4	35170
5	35168
260	2
4	35234
5	35247
261	1
5	35381
262	2
5	35139
6	35131
263	1
5	35341
264	1
6	35326
265	1
5	35164
266	1
5	35298
267	1
5	35307
268	0
269	0
270	2
5	35298
6	35266
271	3
4	35327
5	35305
6	35302
272	3
4	35227
5	35211
6	35205
273	0
274	2
5	35276
6	35249
275	0
276	0
277	0
278	1
4	35254
279	1
5	35263
280	1
5	35159
281	1
4	29281
282	2
4	35291
5	35305
283	3
4	35124
5	35107
6	35097
284	1
5	35281
285	1
6	35305
286	1
4	35355
287	2
5	35232
6	35192
288	1
5	35340
289	0
290	1
6	35154
291	3
6	35171
4	35226
5	35183
292	1
5	35293
293	1
5	35335
294	3
4	35236
5	35223
6	35226
295	3
4	35264
5	35252
6	35266
296	0
297	0
298	4
4	6605
6	7105
4	35313
5	35313
299	0
300	3
4	35162
5	35134
6	35113
301	0
302	1
5	35147
303	1
6	35165
304	1
4	35156
305	3
4	35237
5	35223
6	35213
306	1
5	35185
307	3
4	35332
5	35301
6	35313
